x_lambert,y_lambert,nfi_plot,loc_id,meas_date,meas_num,plot_completion,incomp_reason,province,ecozone,prov_eco_type,prov_eco_ref,utm_zone,slope,aspect,elevation,land_base,land_cover,land_pos,plotvol_falllive,veg_type,density_cl,stand_stru,succ_stage,wetland_class,user_info,ec_region,ec_district,plotvol_standlive,plotvol_standdead,plotvol_smtr_live,plotvol_smtr_dead,grossvol_incr,grossvol_mai,plotvol_stump,plotbio_stump,plotbio_smstump,plotbio_lgtr_live,plotbio_lgtr_dead,plotbio_smtr_live,plotbio_smtr_dead,plotbio_lgshrub_live,plotbio_lgshrub_dead,plotvol_oddwd,plotbio_smshrub,plotbio_herb,plotbio_bryo,plotbio_fwd,plotvol_swd,plotbio_swd,plotvol_cwd,plotbio_cwd,plotvol_roundwd,plotbio_roundwd,plotbio_oddwd,sample_depth_min,sample_depth_org,cc_for_floor_8mm,cc_for_floor_total,cc_min0_15,cc_min15_35,cc_min35_55,cc_organic0_15_8mm,cc_organic0_15_total,cc_organic15_35_8mm,cc_organic15_35_total,cc_organic35_55_8mm,cc_organic35_55_total,avg_org_carb,avg_bulk_density_org,ECOPROVINC,ECOZONE_2,ZONE_NAME
4716633.222,3903599.864,805126,0,2006-JUL-22,0,N,NR,NT,4,NA,-1,9,3,290,240,V,T,U,0,TC,OP,COMP,TS,U,NA,52,199,3.08,16.7,1.35,0.35,NA,0.12,NA,NA,NA,2.49,7.93,1.65,0.36,NA,NA,0,1.06,0.12,2.59,0.75,1.48,0.45,6.76,1.49,6.76,1.49,0,35,NA,115.9,NA,91.6,63.3,NA,NA,NA,NA,NA,NA,NA,437.68,0.13,4.2,4,Taiga Plain
4765202.387,3874394.396,805141,0,2005-AUG-10,0,N,NR,NT,4,NA,-1,9,1,999,257,V,T,U,0,TC,SP,COMP,OG,U,NA,52,199,9.11,4.62,5.17,4.21,NA,0.07,0.06,0.01,NA,6.23,2.9,5.75,3.2,NA,NA,0,2.87,0.08,3.98,0.15,1.48,0.31,2.56,0.51,2.56,0.51,0,55,NA,139.8,NA,71.6,98.8,83.2,NA,NA,NA,NA,NA,NA,393.3,0.17,4.2,4,Taiga Plain
4690689.516,3897176.885,812001,0,2006-JUL-22,0,N,NR,NT,4,NA,-1,9,7,304,146,V,T,U,0,TB,SP,MULT,ES,U,NA,52,199,6.69,10.87,1.32,3.38,NA,0.12,NA,NA,NA,3.91,5.45,2.71,2.82,NA,NA,0,1.43,0.86,2.6,1.2,11.92,4.08,27.08,9.06,27.08,9.06,0,55,NA,375.9,NA,54,43.8,42.8,NA,NA,NA,NA,NA,NA,252.08,0.23,4.2,4,Taiga Plain
4739274.097,3867920.487,812016,0,2006-JUL-27,0,N,NR,NT,4,NA,-1,9,0,999,298,V,T,U,2.25,TC,OP,COMP,LS,U,NA,52,201,1.06,0.86,1.18,0.34,NA,0.02,NA,NA,NA,2.35,0.71,2.02,0.29,NA,NA,0,0.7,0.14,0.45,0.25,0.25,0.07,12.49,2.81,12.49,2.81,0,55,NA,151.7,NA,123.4,70.4,114.8,NA,NA,NA,NA,NA,NA,373.78,0.24,4.2,4,Taiga Plain
4784744.923,3796587.296,825796,0,2005-AUG-09,0,N,NR,NT,4,NA,-1,9,8,9,330,V,T,U,0,TC,SP,SNGL,OG,U,NA,54,214,4.36,1.13,3.04,0.28,NA,0.02,NA,NA,NA,3.15,0.87,3.67,0.24,NA,NA,0,1.86,0.05,5.05,NA,4.14,1.71,0,0,0,0,0,55,NA,104.8,NA,64.9,80.5,80.6,NA,NA,NA,NA,NA,NA,403.6,0.19,4.2,4,Taiga Plain
4677576.936,3838788.825,832646,0,2006-JUL-23,0,N,NR,NT,4,NA,-1,9,5,77,280,V,T,U,0,TC,OP,COMP,OG,U,NA,52,199,1.22,0.67,3.6,1.05,NA,0.01,0.42,0.14,NA,0.93,0.46,4.43,1.13,NA,NA,0,6.63,0.52,5.3,1.49,3.45,1.38,8.07,2.49,8.07,2.49,0,39,NA,66.3,NA,52.8,96.8,19.9,NA,NA,NA,NA,NA,NA,399.08,0.1,4.2,4,Taiga Plain
4710038.726,3819257.233,832656,0,2006-JUL-23,0,N,NR,NT,4,NA,-1,9,2,999,233,V,T,U,0,TC,OP,COMP,OG,U,NA,52,201,6.62,0.76,3.35,0,NA,0.04,0.5,0.13,NA,5.03,0.57,5.7,0,NA,NA,0,2.66,0.3,4.03,0.71,0.99,0.31,7.98,2.34,7.98,2.34,0,55,NA,105.7,NA,86.5,122.3,109,NA,NA,NA,NA,NA,NA,359.85,0.16,4.2,4,Taiga Plain
4700281.179,3803013.969,839536,0,2006-JUL-25,0,N,NR,NT,4,NA,-1,9,1,999,234,V,T,U,0,TC,OP,COMP,OG,U,NA,55,216,2.93,1.43,7.06,5.31,NA,0.02,0.76,0.26,NA,2.31,1.04,8.74,4.18,NA,NA,0,2.97,0.24,3.47,1.18,7.78,3.06,4.05,1.22,4.05,1.22,0,55,NA,103.7,NA,91.6,120.5,140.8,NA,NA,NA,NA,NA,NA,327.8,0.15,4.2,4,Taiga Plain
4749055.016,3773785.352,839551,0,2005-AUG-11,0,N,NR,NT,4,NA,-1,9,0,999,223,V,T,W,0,TC,SP,COMP,MS,U,NA,52,201,0,2.17,0.38,0.82,NA,NA,0.92,0.24,NA,0,1.57,0.72,0.85,NA,NA,0,1.15,0.08,0.88,0.45,1.23,0.33,0,0,0,0,0,NA,NA,130.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.38,0.09,4.2,4,Taiga Plain
4797883.492,3744653.038,839566,0,2005-AUG-08,0,N,NR,NT,4,NA,-1,9,1,999,279,V,T,U,0,TC,SP,MULT,TS,U,NA,54,215,20.16,4.92,1.7,1.45,NA,0.12,NA,NA,NA,12.6,3.07,2.07,1.22,NA,NA,0,NA,0.21,NA,NA,0.49,0.17,0,0,0,0,0,35,NA,86.3,NA,32,37,NA,NA,NA,NA,NA,NA,NA,324.55,0.19,4.2,4,Taiga Plain
4674263.039,3796532.314,846411,0,2006-JUL-27,0,N,NR,NT,4,NA,-1,9,1,999,125,V,T,W,0,TC,SP,COMP,TS,U,NA,53,213,0.59,0,0.61,0.03,NA,0,NA,NA,NA,0.46,0,1.08,0.06,NA,NA,0,6.16,0.26,2.64,2.4,3.95,1.63,0,0,0,0,0,55,NA,139.4,NA,88.3,78.7,111.7,NA,NA,NA,NA,NA,NA,382.1,0.14,4.2,4,Taiga Plain
4755605.65,3747784.872,846436,0,2005-AUG-12,0,N,NR,NT,4,NA,-1,9,1,999,260,V,T,U,0,TC,OP,COMP,TS,U,NA,52,203,2.97,0,7.28,1,NA,0.01,NA,NA,NA,2.37,0,7.91,0.93,NA,NA,0,2.33,0.07,NA,1.07,10.49,4.06,0,0,0,0,0,15,NA,145.1,NA,161.9,NA,NA,NA,NA,NA,NA,NA,NA,300.85,0.25,4.2,4,Taiga Plain
4680750.304,3770495.586,853296,0,2005-AUG-13,0,N,NR,NT,4,NA,-1,9,21,167,45,V,T,U,0,TM,OP,MULT,ES,U,NA,56,220,1.5,1.38,11.06,1.41,NA,0.08,NA,NA,NA,1.17,0.73,13.22,1.57,NA,NA,0,NA,0.11,0.03,NA,13.4,4.42,33.49,10.07,33.49,10.07,0,28,NA,41.4,NA,65.9,50.7,NA,NA,NA,NA,NA,NA,NA,234.55,0.33,4.2,4,Taiga Plain
4778482.874,3712060.514,853326,0,2005-AUG-12,0,N,NR,NT,4,NA,-1,9,2,999,158,V,T,U,0,TC,SP,COMP,OG,U,NA,52,203,7.85,2.09,6.44,0.93,NA,0.04,1.6,0.42,NA,5.55,1.44,7.8,0.91,NA,NA,0,NA,0.28,NA,0.35,7.04,1.56,9.99,3.3,9.99,3.3,0,55,NA,111.2,NA,78.7,92.1,110.7,NA,NA,NA,NA,NA,NA,401.9,0.14,4.2,4,Taiga Plain
4654696.588,3764003.793,860171,0,2006-JUL-26,0,N,NR,NT,4,NA,-1,9,1,999,44,V,T,U,0,TC,OP,SNGL,ES,U,NA,56,220,0,0,1.37,0.08,NA,0,0.96,0.24,NA,0,0,1.95,0.11,NA,NA,0,2.04,0.21,0.32,1.31,35.68,9.31,4.78,1.52,4.78,1.52,0,55,NA,44.3,NA,44,93.3,95.6,NA,NA,NA,NA,NA,NA,344.2,0.13,4.2,4,Taiga Plain
4732995.3,3672821.418,873961,0,2005-AUG-01,0,N,NR,NT,4,NA,-1,9,1,999,345,V,T,U,0,TC,DE,SNGL,OG,U,NA,55,217,9.89,1.36,4.92,1.2,NA,0.05,0.68,0.18,NA,7.89,0.78,5.4,0.96,NA,NA,0,NA,NA,NA,NA,3.21,1.33,4.88,1.92,4.88,1.92,0,55,NA,NA,NA,151.3,266.5,168.8,NA,NA,NA,NA,NA,NA,NA,NA,4.2,4,Taiga Plain
4657930.146,3695538.175,880821,0,2005-AUG-01,0,N,NR,NT,4,NA,-1,9,10,313,107,V,T,U,0,TM,DE,MULT,ES,U,NA,56,220,3.72,0,2,0.87,NA,NA,NA,NA,NA,2.91,0,3.29,0.84,NA,NA,0,3.04,0.05,0.22,1.57,12.47,4.03,1.93,0.66,1.93,0.66,0,55,NA,60.5,NA,51.8,51.9,67.8,NA,NA,NA,NA,NA,NA,347.16,0.08,4.2,4,Taiga Plain
4723244.649,3656466.627,880841,0,2002-AUG-07,0,N,NR,NT,4,NA,-1,9,-1,999,0,V,T,U,0,TC,OP,MULT,MS,U,NA,55,217,3.66,0,2.63,0,NA,NA,NA,NA,NA,2.88,0,3.27,0,NA,NA,0,NA,NA,NA,NA,0,0,57.5,18.26,57.5,18.26,0,43,NA,NA,NA,35.5,22.3,22.5,NA,NA,NA,NA,NA,NA,324.98,NA,4.2,4,Taiga Plain
4739602.935,3646744.683,880846,0,2002-AUG-09,0,N,NR,NT,4,NA,-1,9,-1,999,0,V,T,U,0,TC,OP,COMP,MS,U,NA,52,203,0.75,0,0.15,0,NA,NA,NA,NA,NA,0.57,0,0.4,0,NA,NA,0,NA,NA,NA,NA,0,0,21.2,7.41,21.2,7.41,0,50,NA,NA,NA,61.1,79.4,54.3,NA,NA,NA,NA,NA,NA,411.23,NA,4.2,4,Taiga Plain
4664474.707,3669429.582,887706,0,2005-JUL-31,0,N,NR,NT,4,NA,-1,9,2,999,235,V,T,U,0,TC,DE,SNGL,ES,U,NA,56,220,0,0,0.1,4.88,NA,NA,NA,NA,NA,0,0,0.22,4.45,NA,NA,0,0.82,0.62,NA,0.1,16.66,7.31,0,0,0,0,0,55,NA,58.2,NA,127.9,89.8,36.9,NA,NA,NA,NA,NA,NA,345.38,0.12,4.2,4,Taiga Plain
4680813.746,3659654.225,887711,0,2002-AUG-09,0,N,NR,NT,4,NA,-1,9,-1,999,0,V,T,U,0,TC,OP,MULT,OG,U,NA,56,220,86.67,4.05,0.04,0,NA,NA,NA,NA,NA,55.84,2.86,0.1,0,NA,NA,0,NA,NA,NA,NA,0,0,140.94,45.19,140.94,45.19,0,50,NA,NA,NA,28.8,6.5,8.9,NA,NA,NA,NA,NA,NA,369.3,NA,4.2,4,Taiga Plain
4671039.677,3643307.236,894591,0,2005-JUL-30,0,N,NR,NT,4,NA,-1,9,4,33,248,V,T,U,0,TM,DE,SNGL,ES,U,NA,56,220,4.56,0,10.36,0.22,NA,0.12,NA,NA,NA,3.84,0,11.85,0.24,NA,NA,0,NA,NA,1.41,1.65,3.7,1.27,0,0,0,0,0,35,NA,20.1,NA,28.8,34.7,NA,NA,NA,NA,NA,NA,NA,273.88,0.21,4.2,4,Taiga Plain
4869107.791,3790392.636,812056,0,2005-AUG-08,0,N,NR,NT,4,NA,-1,10,4,227,410,V,T,U,0,TC,SP,COMP,TS,U,NA,54,214,17.08,8.75,4.43,1.03,NA,0.18,0.56,0.15,NA,12.45,6.1,5.29,0.8,NA,NA,0,0.89,0.04,3,0.76,4.38,1.31,0,0,0,0,0,55,NA,64.8,NA,89.4,46.7,55.8,NA,NA,NA,NA,NA,NA,385.9,0.13,4.2,4,Taiga Plain
4853423.729,3689644.41,846466,0,2005-AUG-10,0,N,NR,NT,4,NA,-1,10,2,999,300,V,T,U,0,TC,SP,COMP,OG,U,NA,52,203,3.34,8.84,2.47,5.96,NA,0.08,1.58,0.42,NA,2.52,4.36,3.26,4.14,NA,NA,0,NA,0.05,1.15,0.41,6.85,2.26,5.07,1.67,5.07,1.67,0,28,NA,76.7,NA,17.1,12,NA,NA,NA,NA,NA,NA,NA,432.53,0.11,4.2,4,Taiga Plain
4843762.709,3673315.176,853346,0,2005-AUG-09,0,N,NR,NT,4,NA,-1,10,5,202,286,V,T,U,2.15,TC,SP,COMP,OG,U,NA,52,203,18.94,4.68,4.99,0,NA,0.08,1.28,0.34,NA,13.48,3.01,5.69,0,NA,NA,0,NA,0.04,NA,NA,1.23,0.35,21.25,5.82,21.25,5.82,0,NA,NA,111.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313.45,0.13,4.2,4,Taiga Plain
4785092.911,3686039.394,860211,0,2005-JUL-31,0,N,NR,NT,4,NA,-1,10,8,180,300,V,N,U,0,HE,DE,NA,ES,U,100%ofwoodyplantswerekilled,54,215,0,8.32,0,2.82,NA,NA,4.04,1.34,NA,0,5.31,0,2.36,NA,NA,0,0.62,0.56,0.03,0.06,4.38,1.24,26.5,8.87,26.5,8.87,0,35,NA,98.2,NA,42.9,62,NA,NA,NA,NA,NA,NA,NA,334.73,0.21,4.2,4,Taiga Plain
4775386.331,3669708.866,867091,0,2005-AUG-07,0,N,NR,NT,4,NA,-1,10,3,252,325,V,T,U,0,TC,SP,COMP,MS,U,NA,52,203,3.11,0,5.67,0.02,NA,0.01,0.1,0.03,NA,1.97,0,7.59,0.05,NA,NA,0,4.32,0.25,1.5,3.02,10,3.15,17.66,4.12,17.66,4.12,0,55,NA,33.8,NA,77.5,112.1,112.4,NA,NA,NA,NA,NA,NA,398.23,0.1,4.2,4,Taiga Plain
4870602.841,3569217.841,880886,0,2005-AUG-03,0,N,NR,NT,4,NA,-1,10,1,999,260,V,T,U,0,TC,DE,SNGL,TS,U,NA,52,206,3.57,2.24,10.65,0.11,NA,0.03,NA,NA,NA,2.89,1.34,12.82,0.13,NA,NA,0,2.08,0.04,3.45,1.22,13.02,4.1,42.1,11.2,42.1,11.2,0,55,NA,32.5,NA,49.9,21.3,0,NA,NA,NA,NA,NA,NA,353.75,0.17,4.2,4,Taiga Plain
4811745.416,3581825.73,887751,0,2005-AUG-03,0,N,NR,NT,4,NA,-1,10,1,999,224,V,T,U,0,TC,SP,COMP,OG,U,NA,55,218,17.62,10.65,7.78,2.23,NA,0.14,NA,NA,NA,12.51,6.99,8.49,1.75,NA,NA,0,2.46,0.13,3.53,1.05,3.64,1.33,0,0,0,0,0,15,NA,80.6,NA,55.3,NA,NA,NA,NA,NA,NA,NA,NA,336.35,0.15,4.2,4,Taiga Plain
4844542.645,3562465.08,887761,0,2005-AUG-04,0,N,NR,NT,4,NA,-1,10,5,22,360,V,T,U,0,TC,OP,COMP,LS,U,NA,52,206,51.33,1.24,5.12,0,NA,0.52,NA,NA,NA,32.64,0.75,6.03,0,NA,NA,0,4.28,0.12,0.52,2.23,3.89,0.98,0,0,0,0,0,35,NA,52.1,NA,74.6,101,NA,NA,NA,NA,NA,NA,NA,390.38,0.11,4.2,4,Taiga Plain
4775948.699,3558728.155,901506,0,2006-JUL-29,0,N,NR,NT,4,NA,-1,10,0,999,186,V,T,U,0,TC,OP,MULT,LS,U,NA,55,218,2.06,0,4.77,0,NA,0.03,NA,NA,NA,1.6,0,6.11,0,NA,NA,0,1.92,0.36,2.2,1,0.99,0.34,0,0,0,0,0,35,NA,82.5,NA,72.4,74.3,NA,NA,NA,NA,NA,NA,NA,366.33,0.14,4.2,4,Taiga Plain
4907402.2,3481370.771,901546,0,2006-JUL-30,0,N,NR,NT,4,NA,-1,10,1,999,192,V,T,U,0,TC,OP,COMP,OG,U,NA,52,204,17.3,6.02,12.71,3.87,NA,0.1,NA,NA,NA,10.14,3.68,15.25,3.44,NA,NA,0,1.35,0.31,3.89,1.48,16.49,4.29,16.43,4.64,16.43,4.64,0,55,NA,116.6,NA,67.7,49.6,54.7,NA,NA,NA,NA,NA,NA,375.95,0.18,4.2,4,Taiga Plain
4749823.432,3552038.707,908381,0,2005-JUL-29,0,N,NR,NT,4,NA,-1,10,0,999,135,V,T,U,0,TC,DE,SNGL,TS,U,NA,58,225,0,0,4.66,1.59,NA,NA,NA,NA,NA,0,0,5.84,1.46,NA,NA,0,3.39,NA,14.87,0.6,1.23,0.51,0,0,0,0,0,NA,35,NA,NA,NA,NA,NA,121.9,NA,NA,NA,NA,NA,476.77,0.01,4.2,4,Taiga Plain
4756516.846,3525897.12,915266,0,2005-AUG-29,0,N,NR,NT,4,NA,-1,10,1,999,265,V,T,U,0,TM,DE,SNGL,ES,U,NA,58,225,0.5,0,14.33,0.79,NA,0.01,NA,NA,NA,0.58,0,19.89,0.9,NA,NA,0,1.88,0.3,2.25,1.35,3.7,1.03,0,0,0,0,0,35,NA,94.3,NA,50.1,0,NA,NA,NA,NA,NA,NA,NA,401.05,0.13,4.2,4,Taiga Plain
4871654.981,3458083.219,915301,0,2005-AUG-04,0,N,NR,NT,4,NA,-1,10,1,999,205,V,T,U,0,TM,SP,SNGL,ES,U,NA,52,206,0,0,0.1,0.09,NA,NA,0.16,0.04,NA,0,0,0.25,0.11,NA,NA,0,1,0.14,0.64,1.4,42.6,14.06,11.72,4.31,11.72,4.31,0,49,NA,35.7,NA,78,126.8,69.3,NA,NA,NA,NA,NA,NA,366.38,0.22,4.2,4,Taiga Plain
4861998.527,3441606.719,922181,0,2005-AUG-06,0,N,NR,NT,4,NA,-1,10,1,999,220,V,T,U,0,TC,SP,COMP,OG,U,NA,52,206,11.22,3.48,6.55,0.03,NA,0.05,0.44,0.14,NA,8.86,2.42,7.78,0.04,NA,NA,0,NA,0.2,NA,NA,23.47,7.28,13.42,4.65,13.42,4.65,0,55,NA,51.1,NA,57.6,111.8,109.9,NA,NA,NA,NA,NA,NA,320.95,0.2,4.2,4,Taiga Plain
4704178.432,3512515.007,929016,0,2004-AUG-28,0,N,NR,NT,4,NA,-1,10,7,52,535,V,T,U,0,TC,OP,COMP,MS,U,NA,56,220,12.61,0,21.45,0,NA,0.16,0.04,0.01,NA,9.54,0,25.27,0,NA,NA,0,0.13,0.15,0.8,0.24,4.69,1.21,2.31,0.58,2.31,0.58,0,41,NA,29.4,NA,27.8,17.8,4.5,NA,NA,NA,NA,NA,NA,322.73,0.13,4.2,4,Taiga Plain
4704178.432,3512515.007,929016,0,2018-AUG-23,1,F,NA,NT,4,TAIGA PLAINS,-1,10,11,52,529,V,T,U,0,TC,DE,SNGL,TS,N,NA,NA,NA,23.13,0,39.57,0,NA,0.25,NA,NA,0,16.88,0,43.56,0,0.66,0,0,1.47,0.42,12.71,1.39,1.73,0.66,0,0,0,0,0,15,NA,69,71.2,24.7,NA,NA,NA,NA,NA,NA,NA,NA,315.08,0.17,4.2,4,Taiga Plain
4720612.361,3502768.19,929021,0,2004-AUG-29,0,N,NR,NT,4,NA,-1,10,0,999,180,V,T,U,0,TC,OP,MULT,MS,U,NA,56,220,0,0,7.39,1.56,NA,0,0.24,0.08,NA,0,0,9.52,1.63,NA,NA,0,3.92,0.42,2.15,0.64,17.59,6.55,6.13,1.55,6.13,1.55,0,35,NA,311.9,NA,141.6,112.8,NA,NA,NA,NA,NA,NA,NA,300.93,0.32,4.2,4,Taiga Plain
4720612.361,3502768.19,929021,0,2018-AUG-24,1,F,NA,NT,4,TAIGA PLAINS,-1,10,0,999,180,V,T,W,0,TC,OP,MULT,MS,B,NA,NA,NA,1.45,0,14.51,1.39,NA,NA,NA,NA,0,1.08,0,17.14,1.37,0,0,0,7.71,0.36,2.62,0.4,8.88,2.69,4.01,0.92,4.01,0.92,0,NA,35,NA,NA,NA,NA,NA,62.7,64.4,151.5,151.5,NA,NA,372.63,0.18,4.2,4,Taiga Plain
4852334.671,3425121.224,929061,0,2005-AUG-05,0,N,NR,NT,4,NA,-1,10,3,240,230,V,T,U,0,TC,OP,COMP,TS,U,NA,59,228,3.15,0,4.36,3.51,NA,0.03,0.28,0.07,NA,2,0,5.7,2.7,NA,NA,0,1.48,0.05,4.23,2.02,39.57,12.84,23.01,6.17,23.01,6.17,0,55,NA,33.5,NA,40.5,107.2,112.7,NA,NA,NA,NA,NA,NA,414.63,0.1,4.2,4,Taiga Plain
4852334.671,3425121.224,929061,0,2018-AUG-29,1,F,NA,NT,4,TAIGA PLAINS,-1,10,3,240,230,V,T,U,0,TC,OP,COMP,LS,N,NA,NA,NA,3.47,0,8.71,4.89,NA,0.03,0.26,0.09,0,2.05,0,12.3,4.45,0,0,5.36,2.1,0.95,7.93,0.68,17.35,5.52,27.1,5.82,21.74,4.84,0.98,15,NA,64.2,68.5,56.6,NA,NA,NA,NA,NA,NA,NA,NA,364.95,0.15,4.2,4,Taiga Plain
4868829.155,3415460.588,929066,0,2005-AUG-06,0,N,NR,NT,4,NA,-1,10,1,999,250,V,T,U,0,TC,OP,MULT,LS,U,NA,59,228,6.41,4.72,15.33,4.65,NA,0.14,NA,NA,NA,4.8,3.19,16.97,5.22,NA,NA,0,NA,0.06,NA,NA,21.73,6.02,52.81,15.93,52.81,15.93,0,55,NA,14.3,NA,37.7,147.6,155.5,NA,NA,NA,NA,NA,NA,364.08,0.13,4.2,4,Taiga Plain
