nfi_plot,loc_id,VARIABLE,ZERO_CHECK,YEAR_X0,YEAR_X1,YEAR_X2,VALUE_X0,VALUE_X1,VALUE_X2
777571,0,Sm WD,NA,2006,NA,NA,0,NA,NA
777571,0,Coarse WD,NA,2006,NA,NA,0,NA,NA
777571,0,Round WD,NA,2006,NA,NA,0,NA,NA
777571,0,Odd WD,NA,2006,NA,NA,0,NA,NA
777571,0,Forest Floor 8mm,NA,2006,NA,NA,40.1,NA,NA
777571,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
784461,0,Stump,NA,2006,NA,NA,NA,NA,NA
784461,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
784461,0,Lg Live Tree,NA,2006,NA,NA,0.65,NA,NA
784461,0,Lg Dead Tree,NA,2006,NA,NA,6.36,NA,NA
784461,0,Sm Live Tree,NA,2006,NA,NA,0.43,NA,NA
784461,0,Sm Dead Tree,NA,2006,NA,NA,0,NA,NA
784461,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
784461,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
784461,0,Sm Shrub,NA,2006,NA,NA,1.97,NA,NA
784461,0,Herbs,NA,2006,NA,NA,0.2,NA,NA
784461,0,Bryophytes,NA,2006,NA,NA,3.37,NA,NA
784461,0,Fine WD,NA,2006,NA,NA,1.95,NA,NA
784461,0,Sm WD,NA,2006,NA,NA,3.17,NA,NA
784461,0,Coarse WD,NA,2006,NA,NA,11.77,NA,NA
784461,0,Round WD,NA,2006,NA,NA,7.3,NA,NA
784461,0,Odd WD,NA,2006,NA,NA,4.47,NA,NA
784461,0,Forest Floor 8mm,NA,2006,NA,NA,88.1,NA,NA
784461,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
791331,0,Stump,NA,2006,NA,NA,NA,NA,NA
791331,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
791331,0,Lg Live Tree,NA,2006,NA,NA,0.61,NA,NA
791331,0,Lg Dead Tree,NA,2006,NA,NA,0,NA,NA
791331,0,Sm Live Tree,NA,2006,NA,NA,4.43,NA,NA
791331,0,Sm Dead Tree,NA,2006,NA,NA,0,NA,NA
791331,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
791331,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
791331,0,Sm Shrub,NA,2006,NA,NA,1.15,NA,NA
791331,0,Herbs,NA,2006,NA,NA,0.25,NA,NA
791331,0,Bryophytes,NA,2006,NA,NA,4.34,NA,NA
791331,0,Fine WD,NA,2006,NA,NA,0.67,NA,NA
791331,0,Sm WD,NA,2006,NA,NA,0.42,NA,NA
791331,0,Coarse WD,NA,2006,NA,NA,0,NA,NA
791331,0,Round WD,NA,2006,NA,NA,0,NA,NA
791331,0,Odd WD,NA,2006,NA,NA,0,NA,NA
791331,0,Forest Floor 8mm,NA,2006,NA,NA,64.2,NA,NA
791331,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
798196,0,Stump,NA,2006,NA,NA,NA,NA,NA
798196,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
798196,0,Lg Live Tree,NA,2006,NA,NA,0,NA,NA
798196,0,Lg Dead Tree,NA,2006,NA,NA,0,NA,NA
798196,0,Sm Live Tree,NA,2006,NA,NA,6.69,NA,NA
798196,0,Sm Dead Tree,NA,2006,NA,NA,1.01,NA,NA
798196,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
798196,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
798196,0,Sm Shrub,NA,2006,NA,NA,1.68,NA,NA
798196,0,Herbs,NA,2006,NA,NA,0.72,NA,NA
798196,0,Bryophytes,NA,2006,NA,NA,4.22,NA,NA
798196,0,Fine WD,NA,2006,NA,NA,1.41,NA,NA
798196,0,Sm WD,NA,2006,NA,NA,0.39,NA,NA
798196,0,Coarse WD,NA,2006,NA,NA,0,NA,NA
798196,0,Round WD,NA,2006,NA,NA,0,NA,NA
798196,0,Odd WD,NA,2006,NA,NA,0,NA,NA
798196,0,Forest Floor 8mm,NA,2006,NA,NA,128.1,NA,NA
798196,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
798221,0,Stump,NA,2006,NA,NA,NA,NA,NA
798221,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
798221,0,Lg Live Tree,NA,2006,NA,NA,5.52,NA,NA
798221,0,Lg Dead Tree,NA,2006,NA,NA,0,NA,NA
798221,0,Sm Live Tree,NA,2006,NA,NA,2.64,NA,NA
798221,0,Sm Dead Tree,NA,2006,NA,NA,0.37,NA,NA
798221,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
798221,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
798221,0,Sm Shrub,NA,2006,NA,NA,2.18,NA,NA
798221,0,Herbs,NA,2006,NA,NA,0.58,NA,NA
798221,0,Bryophytes,NA,2006,NA,NA,6.24,NA,NA
798221,0,Fine WD,NA,2006,NA,NA,2.83,NA,NA
798221,0,Sm WD,NA,2006,NA,NA,4.75,NA,NA
798221,0,Coarse WD,NA,2006,NA,NA,6.1,NA,NA
798221,0,Round WD,NA,2006,NA,NA,6.1,NA,NA
798221,0,Odd WD,NA,2006,NA,NA,0,NA,NA
798221,0,Forest Floor 8mm,NA,2006,NA,NA,117.9,NA,NA
798221,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
811951,0,Stump,NA,2006,NA,NA,0.04,NA,NA
811951,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
811951,0,Lg Live Tree,NA,2006,NA,NA,0,NA,NA
811951,0,Lg Dead Tree,NA,2006,NA,NA,1.03,NA,NA
811951,0,Sm Live Tree,NA,2006,NA,NA,2.07,NA,NA
811951,0,Sm Dead Tree,NA,2006,NA,NA,5.28,NA,NA
811951,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
811951,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
811951,0,Sm Shrub,NA,2006,NA,NA,6.42,NA,NA
811951,0,Herbs,NA,2006,NA,NA,0.65,NA,NA
811951,0,Bryophytes,NA,2006,NA,NA,1.75,NA,NA
811951,0,Fine WD,NA,2006,NA,NA,1.95,NA,NA
811951,0,Sm WD,NA,2006,NA,NA,0.59,NA,NA
811951,0,Coarse WD,NA,2006,NA,NA,0.76,NA,NA
811951,0,Round WD,NA,2006,NA,NA,0.76,NA,NA
811951,0,Odd WD,NA,2006,NA,NA,0,NA,NA
811951,0,Forest Floor 8mm,NA,2006,NA,NA,136.1,NA,NA
811951,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
818836,0,Stump,NA,2006,NA,NA,NA,NA,NA
818836,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
818836,0,Lg Live Tree,NA,2006,NA,NA,0,NA,NA
818836,0,Lg Dead Tree,NA,2006,NA,NA,0,NA,NA
818836,0,Sm Live Tree,NA,2006,NA,NA,1.87,NA,NA
818836,0,Sm Dead Tree,NA,2006,NA,NA,0,NA,NA
818836,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
818836,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
818836,0,Sm Shrub,NA,2006,NA,NA,1.98,NA,NA
818836,0,Herbs,NA,2006,NA,NA,0.67,NA,NA
818836,0,Bryophytes,NA,2006,NA,NA,1.96,NA,NA
818836,0,Fine WD,NA,2006,NA,NA,1.34,NA,NA
818836,0,Sm WD,NA,2006,NA,NA,0.42,NA,NA
818836,0,Coarse WD,NA,2006,NA,NA,0,NA,NA
818836,0,Round WD,NA,2006,NA,NA,0,NA,NA
818836,0,Odd WD,NA,2006,NA,NA,0,NA,NA
818836,0,Forest Floor 8mm,NA,2006,NA,NA,NA,NA,NA
818836,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
818856,0,Stump,NA,2006,NA,NA,NA,NA,NA
818856,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
818856,0,Lg Live Tree,NA,2006,NA,NA,0,NA,NA
818856,0,Lg Dead Tree,NA,2006,NA,NA,0,NA,NA
818856,0,Sm Live Tree,NA,2006,NA,NA,3.48,NA,NA
818856,0,Sm Dead Tree,NA,2006,NA,NA,0,NA,NA
818856,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
818856,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
818856,0,Sm Shrub,NA,2006,NA,NA,6.61,NA,NA
818856,0,Herbs,NA,2006,NA,NA,1.77,NA,NA
818856,0,Bryophytes,NA,2006,NA,NA,0.46,NA,NA
818856,0,Fine WD,NA,2006,NA,NA,1,NA,NA
818856,0,Sm WD,NA,2006,NA,NA,0.51,NA,NA
818856,0,Coarse WD,NA,2006,NA,NA,0,NA,NA
818856,0,Round WD,NA,2006,NA,NA,0,NA,NA
818856,0,Odd WD,NA,2006,NA,NA,0,NA,NA
818856,0,Forest Floor 8mm,NA,2006,NA,NA,68,NA,NA
818856,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
777611,0,Stump,NA,2006,NA,NA,NA,NA,NA
777611,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
777611,0,Lg Live Tree,NA,2006,NA,NA,0,NA,NA
777611,0,Lg Dead Tree,NA,2006,NA,NA,1.32,NA,NA
777611,0,Sm Live Tree,NA,2006,NA,NA,0.2,NA,NA
777611,0,Sm Dead Tree,NA,2006,NA,NA,0,NA,NA
777611,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
777611,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
777611,0,Sm Shrub,NA,2006,NA,NA,0.66,NA,NA
777611,0,Herbs,NA,2006,NA,NA,0.42,NA,NA
777611,0,Bryophytes,NA,2006,NA,NA,3.32,NA,NA
777611,0,Fine WD,NA,2006,NA,NA,0.89,NA,NA
777611,0,Sm WD,NA,2006,NA,NA,1.17,NA,NA
777611,0,Coarse WD,NA,2006,NA,NA,0.58,NA,NA
777611,0,Round WD,NA,2006,NA,NA,0.58,NA,NA
777611,0,Odd WD,NA,2006,NA,NA,0,NA,NA
777611,0,Forest Floor 8mm,NA,2006,NA,NA,88.7,NA,NA
777611,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
805121,0,Stump,NA,2006,NA,NA,1.43,NA,NA
805121,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
805121,0,Lg Live Tree,NA,2006,NA,NA,0.82,NA,NA
805121,0,Lg Dead Tree,NA,2006,NA,NA,0,NA,NA
805121,0,Sm Live Tree,NA,2006,NA,NA,5.46,NA,NA
805121,0,Sm Dead Tree,NA,2006,NA,NA,0.34,NA,NA
805121,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
805121,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
805121,0,Sm Shrub,NA,2006,NA,NA,2.69,NA,NA
805121,0,Herbs,NA,2006,NA,NA,0.12,NA,NA
805121,0,Bryophytes,NA,2006,NA,NA,1.05,NA,NA
805121,0,Fine WD,NA,2006,NA,NA,0.29,NA,NA
805121,0,Sm WD,NA,2006,NA,NA,2.53,NA,NA
805121,0,Coarse WD,NA,2006,NA,NA,0,NA,NA
805121,0,Round WD,NA,2006,NA,NA,0,NA,NA
805121,0,Odd WD,NA,2006,NA,NA,0,NA,NA
805121,0,Forest Floor 8mm,NA,2006,NA,NA,121.2,NA,NA
805121,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
805126,0,Stump,NA,2006,NA,NA,NA,NA,NA
805126,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
805126,0,Lg Live Tree,NA,2006,NA,NA,2.49,NA,NA
805126,0,Lg Dead Tree,NA,2006,NA,NA,7.93,NA,NA
805126,0,Sm Live Tree,NA,2006,NA,NA,1.65,NA,NA
805126,0,Sm Dead Tree,NA,2006,NA,NA,0.36,NA,NA
805126,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
805126,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
805126,0,Sm Shrub,NA,2006,NA,NA,1.06,NA,NA
805126,0,Herbs,NA,2006,NA,NA,0.12,NA,NA
805126,0,Bryophytes,NA,2006,NA,NA,2.59,NA,NA
805126,0,Fine WD,NA,2006,NA,NA,0.75,NA,NA
805126,0,Sm WD,NA,2006,NA,NA,0.45,NA,NA
805126,0,Coarse WD,NA,2006,NA,NA,1.49,NA,NA
805126,0,Round WD,NA,2006,NA,NA,1.49,NA,NA
805126,0,Odd WD,NA,2006,NA,NA,0,NA,NA
805126,0,Forest Floor 8mm,NA,2006,NA,NA,115.9,NA,NA
805126,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
805141,0,Stump,NA,2005,NA,NA,0.01,NA,NA
805141,0,Sm Stump,NA,2005,NA,NA,NA,NA,NA
805141,0,Lg Live Tree,NA,2005,NA,NA,6.23,NA,NA
805141,0,Lg Dead Tree,NA,2005,NA,NA,2.9,NA,NA
805141,0,Sm Live Tree,NA,2005,NA,NA,5.75,NA,NA
805141,0,Sm Dead Tree,NA,2005,NA,NA,3.2,NA,NA
805141,0,Lg Live Shrub,NA,2005,NA,NA,NA,NA,NA
805141,0,Lg Dead Shrub,NA,2005,NA,NA,NA,NA,NA
805141,0,Sm Shrub,NA,2005,NA,NA,2.87,NA,NA
805141,0,Herbs,NA,2005,NA,NA,0.08,NA,NA
805141,0,Bryophytes,NA,2005,NA,NA,3.98,NA,NA
805141,0,Fine WD,NA,2005,NA,NA,0.15,NA,NA
805141,0,Sm WD,NA,2005,NA,NA,0.31,NA,NA
805141,0,Coarse WD,NA,2005,NA,NA,0.51,NA,NA
805141,0,Round WD,NA,2005,NA,NA,0.51,NA,NA
805141,0,Odd WD,NA,2005,NA,NA,0,NA,NA
805141,0,Forest Floor 8mm,NA,2005,NA,NA,139.8,NA,NA
805141,0,For Floor Total,NA,2005,NA,NA,NA,NA,NA
812001,0,Stump,NA,2006,NA,NA,NA,NA,NA
812001,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
812001,0,Lg Live Tree,NA,2006,NA,NA,3.91,NA,NA
812001,0,Lg Dead Tree,NA,2006,NA,NA,5.45,NA,NA
812001,0,Sm Live Tree,NA,2006,NA,NA,2.71,NA,NA
812001,0,Sm Dead Tree,NA,2006,NA,NA,2.82,NA,NA
812001,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
812001,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
812001,0,Sm Shrub,NA,2006,NA,NA,1.43,NA,NA
812001,0,Herbs,NA,2006,NA,NA,0.86,NA,NA
812001,0,Bryophytes,NA,2006,NA,NA,2.6,NA,NA
812001,0,Fine WD,NA,2006,NA,NA,1.2,NA,NA
812001,0,Sm WD,NA,2006,NA,NA,4.08,NA,NA
812001,0,Coarse WD,NA,2006,NA,NA,9.06,NA,NA
812001,0,Round WD,NA,2006,NA,NA,9.06,NA,NA
812001,0,Odd WD,NA,2006,NA,NA,0,NA,NA
812001,0,Forest Floor 8mm,NA,2006,NA,NA,375.9,NA,NA
812001,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
812016,0,Stump,NA,2006,NA,NA,NA,NA,NA
812016,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
812016,0,Lg Live Tree,NA,2006,NA,NA,2.35,NA,NA
812016,0,Lg Dead Tree,NA,2006,NA,NA,0.71,NA,NA
812016,0,Sm Live Tree,NA,2006,NA,NA,2.02,NA,NA
812016,0,Sm Dead Tree,NA,2006,NA,NA,0.29,NA,NA
812016,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
812016,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
812016,0,Sm Shrub,NA,2006,NA,NA,0.7,NA,NA
812016,0,Herbs,NA,2006,NA,NA,0.14,NA,NA
812016,0,Bryophytes,NA,2006,NA,NA,0.45,NA,NA
812016,0,Fine WD,NA,2006,NA,NA,0.25,NA,NA
812016,0,Sm WD,NA,2006,NA,NA,0.07,NA,NA
812016,0,Coarse WD,NA,2006,NA,NA,2.81,NA,NA
812016,0,Round WD,NA,2006,NA,NA,2.81,NA,NA
812016,0,Odd WD,NA,2006,NA,NA,0,NA,NA
812016,0,Forest Floor 8mm,NA,2006,NA,NA,151.7,NA,NA
812016,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
825796,0,Stump,NA,2005,NA,NA,NA,NA,NA
825796,0,Sm Stump,NA,2005,NA,NA,NA,NA,NA
825796,0,Lg Live Tree,NA,2005,NA,NA,3.15,NA,NA
825796,0,Lg Dead Tree,NA,2005,NA,NA,0.87,NA,NA
825796,0,Sm Live Tree,NA,2005,NA,NA,3.67,NA,NA
825796,0,Sm Dead Tree,NA,2005,NA,NA,0.24,NA,NA
825796,0,Lg Live Shrub,NA,2005,NA,NA,NA,NA,NA
825796,0,Lg Dead Shrub,NA,2005,NA,NA,NA,NA,NA
825796,0,Sm Shrub,NA,2005,NA,NA,1.86,NA,NA
825796,0,Herbs,NA,2005,NA,NA,0.05,NA,NA
825796,0,Bryophytes,NA,2005,NA,NA,5.05,NA,NA
825796,0,Fine WD,NA,2005,NA,NA,NA,NA,NA
825796,0,Sm WD,NA,2005,NA,NA,1.71,NA,NA
825796,0,Coarse WD,NA,2005,NA,NA,0,NA,NA
825796,0,Round WD,NA,2005,NA,NA,0,NA,NA
825796,0,Odd WD,NA,2005,NA,NA,0,NA,NA
825796,0,Forest Floor 8mm,NA,2005,NA,NA,104.8,NA,NA
825796,0,For Floor Total,NA,2005,NA,NA,NA,NA,NA
832646,0,Stump,NA,2006,NA,NA,0.14,NA,NA
832646,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
832646,0,Lg Live Tree,NA,2006,NA,NA,0.93,NA,NA
832646,0,Lg Dead Tree,NA,2006,NA,NA,0.46,NA,NA
832646,0,Sm Live Tree,NA,2006,NA,NA,4.43,NA,NA
832646,0,Sm Dead Tree,NA,2006,NA,NA,1.13,NA,NA
832646,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
832646,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
832646,0,Sm Shrub,NA,2006,NA,NA,6.63,NA,NA
832646,0,Herbs,NA,2006,NA,NA,0.52,NA,NA
832646,0,Bryophytes,NA,2006,NA,NA,5.3,NA,NA
832646,0,Fine WD,NA,2006,NA,NA,1.49,NA,NA
832646,0,Sm WD,NA,2006,NA,NA,1.38,NA,NA
832646,0,Coarse WD,NA,2006,NA,NA,2.49,NA,NA
832646,0,Round WD,NA,2006,NA,NA,2.49,NA,NA
832646,0,Odd WD,NA,2006,NA,NA,0,NA,NA
832646,0,Forest Floor 8mm,NA,2006,NA,NA,66.3,NA,NA
832646,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
832656,0,Stump,NA,2006,NA,NA,0.13,NA,NA
832656,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
832656,0,Lg Live Tree,NA,2006,NA,NA,5.03,NA,NA
832656,0,Lg Dead Tree,NA,2006,NA,NA,0.57,NA,NA
832656,0,Sm Live Tree,NA,2006,NA,NA,5.7,NA,NA
832656,0,Sm Dead Tree,NA,2006,NA,NA,0,NA,NA
832656,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
832656,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
832656,0,Sm Shrub,NA,2006,NA,NA,2.66,NA,NA
832656,0,Herbs,NA,2006,NA,NA,0.3,NA,NA
832656,0,Bryophytes,NA,2006,NA,NA,4.03,NA,NA
832656,0,Fine WD,NA,2006,NA,NA,0.71,NA,NA
832656,0,Sm WD,NA,2006,NA,NA,0.31,NA,NA
832656,0,Coarse WD,NA,2006,NA,NA,2.34,NA,NA
832656,0,Round WD,NA,2006,NA,NA,2.34,NA,NA
832656,0,Odd WD,NA,2006,NA,NA,0,NA,NA
832656,0,Forest Floor 8mm,NA,2006,NA,NA,105.7,NA,NA
832656,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
839536,0,Stump,NA,2006,NA,NA,0.26,NA,NA
839536,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
839536,0,Lg Live Tree,NA,2006,NA,NA,2.31,NA,NA
839536,0,Lg Dead Tree,NA,2006,NA,NA,1.04,NA,NA
839536,0,Sm Live Tree,NA,2006,NA,NA,8.74,NA,NA
839536,0,Sm Dead Tree,NA,2006,NA,NA,4.18,NA,NA
839536,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
839536,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
839536,0,Sm Shrub,NA,2006,NA,NA,2.97,NA,NA
839536,0,Herbs,NA,2006,NA,NA,0.24,NA,NA
839536,0,Bryophytes,NA,2006,NA,NA,3.47,NA,NA
839536,0,Fine WD,NA,2006,NA,NA,1.18,NA,NA
839536,0,Sm WD,NA,2006,NA,NA,3.06,NA,NA
839536,0,Coarse WD,NA,2006,NA,NA,1.22,NA,NA
839536,0,Round WD,NA,2006,NA,NA,1.22,NA,NA
839536,0,Odd WD,NA,2006,NA,NA,0,NA,NA
839536,0,Forest Floor 8mm,NA,2006,NA,NA,103.7,NA,NA
839536,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
839551,0,Stump,NA,2005,NA,NA,0.24,NA,NA
839551,0,Sm Stump,NA,2005,NA,NA,NA,NA,NA
839551,0,Lg Live Tree,NA,2005,NA,NA,0,NA,NA
839551,0,Lg Dead Tree,NA,2005,NA,NA,1.57,NA,NA
839551,0,Sm Live Tree,NA,2005,NA,NA,0.72,NA,NA
839551,0,Sm Dead Tree,NA,2005,NA,NA,0.85,NA,NA
839551,0,Lg Live Shrub,NA,2005,NA,NA,NA,NA,NA
839551,0,Lg Dead Shrub,NA,2005,NA,NA,NA,NA,NA
839551,0,Sm Shrub,NA,2005,NA,NA,1.15,NA,NA
839551,0,Herbs,NA,2005,NA,NA,0.08,NA,NA
839551,0,Bryophytes,NA,2005,NA,NA,0.88,NA,NA
839551,0,Fine WD,NA,2005,NA,NA,0.45,NA,NA
839551,0,Sm WD,NA,2005,NA,NA,0.33,NA,NA
839551,0,Coarse WD,NA,2005,NA,NA,0,NA,NA
839551,0,Round WD,NA,2005,NA,NA,0,NA,NA
839551,0,Odd WD,NA,2005,NA,NA,0,NA,NA
839551,0,Forest Floor 8mm,NA,2005,NA,NA,130.7,NA,NA
839551,0,For Floor Total,NA,2005,NA,NA,NA,NA,NA
839566,0,Stump,NA,2005,NA,NA,NA,NA,NA
839566,0,Sm Stump,NA,2005,NA,NA,NA,NA,NA
839566,0,Lg Live Tree,NA,2005,NA,NA,12.6,NA,NA
839566,0,Lg Dead Tree,NA,2005,NA,NA,3.07,NA,NA
839566,0,Sm Live Tree,NA,2005,NA,NA,2.07,NA,NA
839566,0,Sm Dead Tree,NA,2005,NA,NA,1.22,NA,NA
839566,0,Lg Live Shrub,NA,2005,NA,NA,NA,NA,NA
839566,0,Lg Dead Shrub,NA,2005,NA,NA,NA,NA,NA
839566,0,Sm Shrub,NA,2005,NA,NA,NA,NA,NA
839566,0,Herbs,NA,2005,NA,NA,0.21,NA,NA
839566,0,Bryophytes,NA,2005,NA,NA,NA,NA,NA
839566,0,Fine WD,NA,2005,NA,NA,NA,NA,NA
839566,0,Sm WD,NA,2005,NA,NA,0.17,NA,NA
839566,0,Coarse WD,NA,2005,NA,NA,0,NA,NA
839566,0,Round WD,NA,2005,NA,NA,0,NA,NA
839566,0,Odd WD,NA,2005,NA,NA,0,NA,NA
839566,0,Forest Floor 8mm,NA,2005,NA,NA,86.3,NA,NA
839566,0,For Floor Total,NA,2005,NA,NA,NA,NA,NA
846411,0,Stump,NA,2006,NA,NA,NA,NA,NA
846411,0,Sm Stump,NA,2006,NA,NA,NA,NA,NA
846411,0,Lg Live Tree,NA,2006,NA,NA,0.46,NA,NA
846411,0,Lg Dead Tree,NA,2006,NA,NA,0,NA,NA
846411,0,Sm Live Tree,NA,2006,NA,NA,1.08,NA,NA
846411,0,Sm Dead Tree,NA,2006,NA,NA,0.06,NA,NA
846411,0,Lg Live Shrub,NA,2006,NA,NA,NA,NA,NA
846411,0,Lg Dead Shrub,NA,2006,NA,NA,NA,NA,NA
846411,0,Sm Shrub,NA,2006,NA,NA,6.16,NA,NA
846411,0,Herbs,NA,2006,NA,NA,0.26,NA,NA
846411,0,Bryophytes,NA,2006,NA,NA,2.64,NA,NA
846411,0,Fine WD,NA,2006,NA,NA,2.4,NA,NA
846411,0,Sm WD,NA,2006,NA,NA,1.63,NA,NA
846411,0,Coarse WD,NA,2006,NA,NA,0,NA,NA
846411,0,Round WD,NA,2006,NA,NA,0,NA,NA
846411,0,Odd WD,NA,2006,NA,NA,0,NA,NA
846411,0,Forest Floor 8mm,NA,2006,NA,NA,139.4,NA,NA
846411,0,For Floor Total,NA,2006,NA,NA,NA,NA,NA
846436,0,Stump,NA,2005,NA,NA,NA,NA,NA
846436,0,Sm Stump,NA,2005,NA,NA,NA,NA,NA
846436,0,Lg Live Tree,NA,2005,NA,NA,2.37,NA,NA
846436,0,Lg Dead Tree,NA,2005,NA,NA,0,NA,NA
846436,0,Sm Live Tree,NA,2005,NA,NA,7.91,NA,NA
846436,0,Sm Dead Tree,NA,2005,NA,NA,0.93,NA,NA
846436,0,Lg Live Shrub,NA,2005,NA,NA,NA,NA,NA
846436,0,Lg Dead Shrub,NA,2005,NA,NA,NA,NA,NA
846436,0,Sm Shrub,NA,2005,NA,NA,2.33,NA,NA
846436,0,Herbs,NA,2005,NA,NA,0.07,NA,NA
