nfi_plot,loc_id,meas_date,meas_num,plot_completion,incomp_reason,province,ecozone,prov_eco_type,prov_eco_ref,utm_n,utm_e,utm_zone,slope,aspect,elevation,land_base,land_cover,land_pos,plotvol_falllive,veg_type,density_cl,stand_stru,succ_stage,wetland_class,user_info,ec_region,ec_district,plotvol_standlive,plotvol_standdead,plotvol_smtr_live,plotvol_smtr_dead,grossvol_incr,grossvol_mai,plotvol_stump,plotbio_stump,plotbio_smstump,plotbio_lgtr_live,plotbio_lgtr_dead,plotbio_smtr_live,plotbio_smtr_dead,plotbio_lgshrub_live,plotbio_lgshrub_dead,plotvol_oddwd,plotbio_smshrub,plotbio_herb,plotbio_bryo,plotbio_fwd,plotvol_swd,plotbio_swd,plotvol_cwd,plotbio_cwd,plotvol_roundwd,plotbio_roundwd,plotbio_oddwd,sample_depth_min,sample_depth_org,cc_for_floor_8mm,cc_for_floor_total,cc_min0_15,cc_min15_35,cc_min35_55,cc_organic0_15_8mm,cc_organic0_15_total,cc_organic15_35_8mm,cc_organic15_35_total,cc_organic35_55_8mm,cc_organic35_55_total,avg_org_carb,avg_bulk_density_org
647886,0,2010-SEP-12,1,F,NA,NL,6,,-1,5946237,451293,21,0,999,157,V,T,U,0.00,TC,OP,SNGL,TS,U,-1,,,29.53,3.39,34.31,6.70,,0.18,,,0.00,27.29,5.24,53.04,5.44,0.00,0.00,0.00,2.17,0.02,5.77,2.47,8.03,2.63,12.40,3.14,12.40,3.14,0.00,15.0,,73.8,91.9,59.7,,,,,,,,,490.20,0.09
647896,0,2003-AUG-24,0,N,NR,NL,6,Boreal-MudBorealForest(ParadiseRiver),1,5912953,473592,21,6,330,48,V,T,U,0.00,TC,OP,SNGL,TS,U,-1,104,448,49.41,19.08,14.96,4.96,,0.35,,,,40.71,12.16,24.98,3.72,,,6.63,5.02,0.00,8.46,0.71,7.10,1.80,17.20,4.40,10.57,3.00,1.40,42.5,,96.2,137.1,18.9,45.9,12.0,,,,,,,436.18,0.07
647896,0,2010-AUG-20,1,F,NA,NL,6,,-1,5912953,473592,21,6,330,48,V,T,U,0.00,TC,OP,SNGL,TS,U,-1,,,50.56,14.60,17.92,5.26,,0.29,7.90,2.25,0.00,40.93,9.62,27.22,4.10,0.30,0.03,0.00,4.93,0.06,4.29,0.77,5.43,2.25,5.87,2.43,5.87,2.43,0.00,15.0,,133.0,155.5,29.0,,,,,,,,,487.65,0.10
647911,0,2004-SEP-20,0,N,NR,NL,6,Boreal-Mid-BoredForest(ParadiseRiver),1,5863032,506982,21,4,170,236,V,T,U,0.00,TC,SP,SNGL,ES,U,-1,104,448,5.16,2.61,14.96,0.00,,0.30,,,,5.59,2.32,16.82,0.00,,,0.00,5.88,0.23,4.71,0.88,0.00,0.00,9.60,2.43,9.60,2.43,0.00,55.0,,53.9,59.8,45.1,34.1,15.4,,,,,,,436.56,0.07
647911,0,2014-AUG-14,1,F,NA,NL,6,,-1,5863032,506982,21,4,170,236,V,T,U,0.00,TC,OP,SNGL,ES,N,,,,24.48,0.00,30.63,0.00,,0.68,,,0.00,22.04,0.00,28.11,0.00,0.00,0.00,0.00,4.42,0.39,6.47,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,,35.7,40.0,108.9,,,,,,,,,414.25,0.10
647926,0,2004-SEP-12,0,N,NR,NL,6,Boreal-MidBoredForest(ParadiseRiver),1,5813177,540377,21,12,355,198,V,T,U,0.00,TC,DE,MULT,TS,U,-1,104,448,84.33,19.72,9.90,0.00,,0.51,,,,65.98,11.89,21.72,0.00,,,0.00,1.06,0.01,5.90,2.07,7.29,2.33,38.39,15.51,38.39,15.51,0.00,48.0,,39.3,47.6,59.0,34.5,11.5,,,,,,,466.61,0.07
647926,0,2009-SEP-12,1,F,NA,NL,6,,-1,5813177,540377,21,12,355,198,V,T,U,0.00,TC,DE,MULT,TS,U,Area has experienced some wind damage,,,76.11,27.04,8.89,0.00,,0.50,,,0.00,58.63,16.39,24.62,0.00,0.00,0.00,0.00,1.87,0.05,4.23,2.12,13.89,5.75,21.75,8.25,21.75,8.25,0.00,15.0,,31.5,39.8,35.3,,,,,,,,,521.20,0.07
654746,0,2003-AUG-27,0,N,NR,NL,6,Boreal-HighBorealForest(LakeMelville),1,6001676,390081,21,0,999,4,V,T,U,0.00,TC,DE,SNGL,LS,U,-1,105,451,53.85,4.27,27.23,2.84,,0.40,,,,48.96,2.71,33.23,2.65,,,0.00,2.66,0.08,9.34,3.04,0.00,0.00,4.40,1.32,4.40,1.32,0.00,47.7,,47.0,75.6,6.0,5.2,3.8,,,,,,,435.70,0.07
654781,0,2004-SEP-14,0,N,NR,NL,6,Boreal-MidBoredForest(ParadiseRiver),1,5885175,468071,21,18,130,250,V,T,U,0.00,TC,DE,SNGL,LS,U,-1,104,448,140.97,47.87,0.49,1.47,,1.17,,,,92.37,29.01,1.48,1.20,,,0.00,0.91,0.14,4.98,4.63,8.52,3.98,22.86,9.14,22.86,9.14,0.00,50.0,,36.8,43.3,51.3,63.3,51.1,,,,,,,483.91,0.06
654781,0,2010-AUG-24,1,F,NA,NL,6,,-1,5885175,468070,21,18,130,250,V,T,U,1.34,TC,DE,SNGL,LS,U,-1,,,143.37,51.18,1.30,1.06,,1.18,,,0.00,93.05,34.06,3.31,0.84,0.00,0.00,0.00,7.71,0.17,3.05,2.98,7.78,2.94,35.69,12.45,35.69,12.45,0.00,15.0,,38.3,45.4,52.3,,,,,,,,,479.28,0.05
654801,0,2004-SEP-10,0,N,NR,NL,6,Boreal-MidBorealForest(ParadiseRiver),1,5818622,512610,21,0,999,209,V,T,U,0.00,TC,SP,SNGL,ES,U,-1,104,448,0.00,3.82,1.13,6.25,,,0.86,0.29,,0.00,2.70,2.48,4.78,,,0.00,3.22,0.21,4.86,0.69,9.20,3.14,14.99,5.11,14.99,5.11,0.00,54.0,,98.6,111.4,142.8,76.1,7.8,,,,,,,506.86,0.07
654801,0,2009-SEP-11,1,F,NA,NL,6,,-1,5818622,512610,21,0,999,209,V,T,U,0.00,TC,SP,SNGL,ES,U,-1,,,0.00,0.00,1.90,1.42,,,0.86,0.36,0.00,0.00,0.00,3.07,1.15,0.00,0.00,0.00,2.72,0.48,6.66,0.19,2.90,0.99,2.79,0.95,2.79,0.95,0.00,15.0,,95.5,106.7,128.7,,,,,,,,,498.55,0.09
654811,0,2004-SEP-08,0,N,NR,NL,6,Boreal-MidBorealForest(ParadiseRiver),1,5785351,534868,21,0,999,266,V,T,U,0.00,TC,OP,MULT,LS,U,-1,104,448,15.02,2.26,15.18,2.26,,0.12,,,,16.27,1.80,33.11,1.81,,,0.00,3.57,0.05,7.03,0.61,3.89,1.18,23.44,8.06,23.44,8.06,0.00,55.0,,88.0,94.3,41.2,49.0,24.6,,,,,,,456.23,0.14
654811,0,2009-SEP-19,1,F,NA,NL,6,,-1,5785351,534868,21,0,999,266,V,T,U,0.00,TC,OP,MULT,LS,U,-1,,,14.21,4.22,12.83,2.43,,0.13,,,0.00,13.66,3.31,29.05,2.48,0.00,0.00,0.00,3.73,0.19,4.48,1.38,2.22,0.76,22.79,9.15,22.79,9.15,0.00,15.0,12.6,58.8,71.7,59.0,,,42.3,44.1,,,,,514.21,0.08
654821,0,2004-SEP-09,0,N,NR,NL,6,Boreal-ForteauBarrens,1,5752071,557112,21,18,235,112,V,T,U,0.00,TC,DE,MULT,TS,U,-1,103,443,101.07,10.52,6.83,0.00,,0.58,1.28,0.32,,68.05,5.85,7.60,0.00,,,26.11,3.04,0.05,5.02,1.15,5.86,1.04,140.66,23.12,114.55,19.09,4.03,55.0,,44.7,49.7,35.4,35.8,25.1,,,,,,,462.88,0.06
654821,0,2009-SEP-18,1,F,NA,NL,6,,-1,5752071,557112,21,18,235,112,V,T,U,0.00,TC,DE,MULT,TS,U,-1,,,120.20,9.54,5.90,0.00,,0.65,1.28,0.25,0.00,78.86,5.50,7.20,0.00,8.25,1.11,0.00,0.40,0.10,2.84,0.96,11.86,4.26,122.41,29.62,122.41,29.62,0.00,15.0,,37.0,42.2,56.2,,,,,,,,,470.20,0.07
668506,0,2004-SEP-16,0,N,NR,NL,6,Boreal-HighBorealForest(LakeMelville),1,5981424,357086,21,22,170,252,V,T,U,3.98,TC,OP,MULT,LS,U,-1,105,451,91.50,11.97,5.67,0.00,,0.63,0.74,0.21,,79.24,7.48,9.72,0.00,,,15.00,1.06,0.10,5.27,0.55,12.47,4.46,93.29,25.70,78.29,18.69,7.01,55.0,,37.9,46.1,19.3,31.4,31.3,,,,,,,444.59,0.07
668596,0,2004-JUL-09,0,N,NR,NL,6,Subartic-NorthernPenisulaForest,1,5679958,557212,21,0,999,23,V,T,U,0.97,TC,OP,SNGL,TS,U,-1,106,453,54.28,13.17,9.87,1.63,,0.52,,,,56.08,9.02,13.12,1.24,,,0.00,2.34,0.23,3.07,2.94,3.40,0.66,10.67,4.02,10.67,4.02,0.00,35.0,35.0,,,42.0,40.5,,29.4,41.9,34.4,37.0,,,521.94,0.05
668596,0,2014-JUL-19,1,F,NA,NL,6,,-1,5679958,557212,21,0,999,23,V,T,U,3.35,TC,OP,SNGL,TS,N,,,,54.92,16.81,6.49,3.20,,0.62,,,0.00,57.37,11.67,8.04,3.04,0.00,0.00,0.00,0.94,0.44,6.96,3.25,6.79,2.32,10.67,2.02,10.67,2.02,0.00,15.0,35.0,214.8,216.6,59.7,,,70.2,73.0,95.5,99.4,,,521.98,0.11
668691,0,2003-JUL-20,0,N,NR,NL,6,Boreal-MaritimeBarrens,1,5360621,323254,22,15,209,51,V,T,U,0.00,TC,DE,MULT,ES,U,-1,114,471,26.63,1.51,62.96,0.58,,0.29,,,,22.55,0.75,65.18,0.43,,,0.00,0.69,0.04,0.53,0.48,3.21,1.09,0.00,0.00,0.00,0.00,0.00,30.7,,18.6,24.4,77.8,57.9,,,,,,,,509.01,0.02
668691,0,2011-JUL-20,1,F,NA,NL,6,,-1,5360621,323254,22,15,209,51,V,T,U,0.00,TC,DE,MULT,ES,U,-1,,,37.19,2.84,81.95,0.41,,0.39,,,0.00,30.25,1.36,73.62,0.38,0.00,0.00,0.00,2.25,0.01,3.42,2.26,1.73,0.59,0.00,0.00,0.00,0.00,0.00,15.0,,83.4,94.4,62.1,,,,,,,,,506.45,0.08
675546,0,2003-JUL-21,0,N,NR,NL,6,Boreal-CentralNewfoundlandForest,1,5436211,695778,21,0,999,120,V,T,U,0.00,TC,SP,SNGL,LS,U,-1,112,466,5.00,1.00,8.31,10.27,,0.06,,,,4.45,0.70,10.99,7.12,,,0.00,1.08,0.12,0.43,0.46,8.08,2.76,5.10,1.74,5.10,1.74,0.00,25.4,,33.5,40.8,17.6,16.1,,,,,,,,467.23,0.04
675546,0,2011-JUL-11,1,F,NA,NL,6,,-1,5436211,695778,21,0,999,120,V,T,U,0.00,TC,SP,SNGL,LS,U,-1,,,3.46,3.63,9.98,7.85,,0.07,,,0.00,3.03,3.17,14.40,5.62,0.12,0.00,0.00,9.16,0.34,4.55,2.17,5.12,1.30,0.00,0.00,0.00,0.00,0.00,14.0,15.0,29.2,40.5,65.0,,,33.6,42.9,,,,,516.26,0.10
682421,0,2003-AUG-16,0,N,NR,NL,6,Boreal-CentralNewfoundlandForest,1,5441770,668115,21,0,999,39,V,T,U,0.00,TC,DE,SNGL,MS,U,-1,112,466,263.01,21.30,1.44,3.34,,1.70,,,,171.16,11.61,1.71,2.52,,,0.00,0.51,0.47,4.71,0.89,0.99,0.25,10.24,2.32,10.24,2.32,0.00,,55.0,,,,,,6.6,16.0,148.0,215.4,68.6,68.6,508.95,0.06
682421,0,2008-SEP-27,1,F,NA,NL,6,,-1,5441770,668114,21,0,999,39,V,T,U,0.00,TC,DE,SNGL,MS,U,-1,,,3.66,8.34,0.00,1.58,,,6.66,3.10,0.00,2.70,5.68,0.00,1.19,0.00,0.00,0.00,2.84,0.43,4.72,6.97,7.34,2.50,14.60,3.89,14.60,3.89,0.00,,35.0,,,,,,21.0,42.2,74.3,90.2,,,374.89,0.08
682436,0,2003-JUL-27,0,N,NR,NL,6,Boreal-CentralNewfoundlandForest,1,5391955,701258,21,0,999,158,V,T,U,0.00,TC,OP,SNGL,LS,U,-1,112,468,57.43,14.87,5.48,7.28,,0.84,,,,39.25,8.77,7.77,4.71,,,0.00,3.08,0.05,0.52,0.53,5.37,1.11,13.96,3.61,13.96,3.61,0.00,44.5,,32.9,57.6,62.4,31.6,1.2,,,,,,,540.49,0.05
682436,0,2015-JUL-17,1,F,NA,NL,6,,-1,5391954,701258,21,0,999,158,V,T,U,0.00,TC,OP,SNGL,LS,N,,,,60.87,2.46,12.25,0.00,,0.65,,,0.00,37.94,1.35,14.77,0.00,0.00,0.00,0.00,4.15,0.23,5.19,3.58,5.86,2.00,17.74,3.26,17.74,3.26,0.00,15.0,,40.7,42.5,75.6,,,,,,,,,465.70,0.10
682441,0,2004-SEP-30,0,N,NR,NL,6,CentralNewfoundlandForest,1,5375351,712293,21,0,999,195,V,T,U,0.00,TC,OP,SNGL,LS,U,-1,112,468,61.85,9.10,15.88,6.24,,0.63,,,,50.86,5.51,25.10,4.92,,,0.55,6.14,1.25,3.62,0.43,8.71,2.20,2.33,0.93,1.78,0.83,0.10,55.0,,41.7,49.2,41.7,37.8,11.7,,,,,,,378.58,0.09
682441,0,2011-JUL-06,1,F,NA,NL,6,,-1,5375351,712293,21,0,999,195,V,T,U,1.54,TC,OP,SNGL,LS,U,-1,,,62.78,10.28,20.36,4.27,,0.62,,,0.00,51.70,5.95,32.83,3.81,0.00,0.00,0.00,1.88,2.38,3.14,0.82,5.31,1.81,2.33,0.97,2.33,0.97,0.00,15.0,,113.9,125.2,48.7,,,,,,,,,457.10,0.31
689141,0,2003-SEP-13,0,N,NR,NL,6,Boreal-HighBorealForest(LakeMelville),1,5962031,691090,20,8,250,58,V,T,U,0.00,TC,OP,SNGL,OG,U,-1,105,452,26.61,2.07,28.81,14.50,,0.13,,,,23.82,1.62,35.96,10.84,,,11.90,3.18,0.00,8.79,1.65,6.05,1.08,16.12,2.77,4.22,1.07,1.70,51.7,,43.1,70.9,11.8,24.7,55.0,,,,,,,500.81,0.05
689251,0,2004-JUL-08,0,N,NR,NL,6,Boreal-LongRangeBarrens,1,5596770,540686,21,5,300,275,V,T,U,0.00,TC,OP,SNGL,LS,U,-1,107,456,34.09,4.03,20.19,2.65,,0.30,,,,40.64,3.52,37.85,2.04,,,0.00,2.24,0.11,2.19,1.47,10.99,3.23,21.59,7.26,21.59,7.26,0.00,,,27.9,34.9,,,,,,,,,,468.78,0.06
689251,0,2014-JUL-07,1,F,NA,NL,6,,-1,5596770,540686,21,5,300,275,V,T,U,0.00,TC,OP,SNGL,LS,N,,,,35.21,4.71,17.64,1.32,,0.29,,,0.00,40.23,2.89,31.46,1.91,0.00,0.00,0.00,1.32,0.08,2.67,6.15,0.00,0.00,16.27,4.18,16.27,4.18,0.00,9.0,,27.0,29.1,1.9,,,,,,,,,415.73,0.12
689336,0,2003-JUL-18,0,N,NR,NL,6,Boreal-MaritimeBarrens,1,5314164,280720,22,8,357,87,V,T,U,0.00,TC,SP,MULT,ES,U,-1,112,468,2.41,0.00,24.02,0.03,,0.03,,,,3.23,0.00,49.87,0.04,,,0.00,4.33,0.04,0.39,0.06,0.74,0.25,3.60,1.23,3.60,1.23,0.00,35.0,,30.5,31.8,29.8,44.2,,,,,,,,494.80,0.02
689336,0,2011-JUL-22,1,F,NA,NL,6,,-1,5314164,280720,22,8,357,87,V,T,U,0.00,TC,SP,MULT,ES,U,-1,,,2.71,0.00,30.81,1.87,,0.03,,,0.00,2.23,0.00,52.51,1.74,0.00,0.00,0.00,2.14,0.17,0.73,1.73,0.74,0.25,0.00,0.00,0.00,0.00,0.00,15.0,,57.0,62.0,41.4,,,,,,,,,482.83,0.05
696021,0,2003-SEP-14,0,N,NR,NL,6,Boreal-HighBorealForest(LakeMelville),1,5949515,675443,20,0,999,118,V,T,U,0.00,TC,OP,SNGL,TS,U,-1,105,452,24.03,9.27,11.56,3.07,,0.16,,,,20.37,6.24,17.84,2.39,,,0.00,5.87,0.00,8.11,1.17,5.31,1.73,17.25,5.63,17.25,5.63,0.00,55.0,,65.1,111.3,34.2,7.4,46.3,,,,,,,460.18,0.05
696021,0,2011-SEP-13,1,F,NA,NL,6,,-1,5949515,675443,20,0,999,118,V,T,U,0.00,TC,OP,SNGL,TS,U,-1,,,25.34,2.81,9.74,0.15,,0.13,,,0.00,21.51,2.18,13.24,0.17,0.00,0.00,0.00,8.20,1.35,7.39,0.85,6.30,1.83,22.96,5.44,22.96,5.44,0.00,15.0,,167.8,180.1,39.9,,,,,,,,,500.83,0.11
696121,0,2004-JUL-06,0,N,NR,NL,6,Boreal-NorthernPeninsulaForest,1,5618881,501853,21,5,144,217,V,T,U,20.87,TC,OP,SNGL,TS,U,-1,108,457,39.87,73.22,4.54,5.01,,1.16,,,,46.83,44.00,4.69,3.63,,,0.00,3.33,0.20,1.53,0.30,10.55,3.99,123.96,39.65,123.96,39.65,0.00,45.5,,75.6,93.0,24.8,21.6,8.3,,,,,,,500.23,0.10
696121,0,2010-JUN-12,1,F,NA,NL,6,,-1,5618881,501853,21,5,144,217,V,T,U,0.55,TC,OP,SNGL,TS,U,-1,,,31.06,71.56,2.74,2.40,,0.91,,,0.00,25.13,43.97,2.67,1.78,0.00,0.00,0.00,1.02,0.99,2.06,1.32,4.88,1.75,67.76,18.03,67.76,18.03,0.00,15.0,,51.1,57.8,37.9,,,,,,,,,451.33,0.10
696151,0,2004-AUG-16,0,N,NR,NL,6,Boreal-CentralNewfoundlandForest,1,5519243,568471,21,0,999,214,V,T,U,0.00,TC,OP,SNGL,ES,U,-1,113,470,3.92,0.00,10.70,0.04,,0.10,3.92,1.12,,4.20,0.00,16.31,0.04,,,7.43,6.42,0.77,1.72,0.35,8.46,2.11,22.53,5.22,15.10,4.21,1.01,15.0,,50.8,57.0,21.9,,,,,,,,,428.76,0.13
696151,0,2009-SEP-29,1,F,NA,NL,6,,-1,5519243,568471,21,0,999,214,V,T,U,0.00,TC,OP,SNGL,ES,U,-1,,,8.26,0.00,7.63,0.04,,0.19,3.92,1.05,0.00,7.84,0.00,10.27,0.04,1.30,0.06,0.00,6.74,0.99,1.35,0.83,5.86,2.29,8.91,3.90,8.91,3.90,0.00,15.0,,67.0,75.6,9.1,,,,,,,,,465.95,0.14
696201,0,2003-JUL-26,0,N,NR,NL,6,Boreal-MaritimeBarrens,1,5353288,679099,21,2,999,170,V,T,U,0.00,TC,OP,SNGL,OG,U,-1,112,468,12.77,4.76,23.33,2.79,,0.09,,,,12.60,2.94,28.84,2.27,,,0.00,2.01,0.04,0.67,0.13,0.74,0.23,0.00,0.00,0.00,0.00,0.00,46.1,,61.8,78.9,42.0,65.3,7.0,,,,,,,518.99,0.04
696201,0,2011-JUL-08,1,F,NA,NL,6,,-1,5353288,679099,21,2,999,170,V,T,U,0.00,TC,OP,SNGL,OG,U,-1,,,11.13,1.86,24.31,2.09,,0.06,,,0.00,10.64,1.22,29.67,2.06,0.00,0.00,0.00,4.37,0.06,5.92,1.81,1.97,0.67,2.33,0.97,2.33,0.97,0.00,15.0,17.3,23.9,32.7,24.6,,,61.1,77.2,8.5,10.3,,,497.76,0.07
702906,0,2003-SEP-16,0,N,NR,NL,6,Boreal-HighBorealForest(LakeMelville),1,5921357,672308,20,15,0,9,V,T,U,8.61,TC,DE,SNGL,LS,U,-1,105,452,219.46,9.31,3.70,1.07,,2.22,,,,147.76,5.66,4.13,0.82,,,0.00,0.44,0.00,8.70,3.39,4.19,1.06,36.60,15.44,36.60,15.44,0.00,55.0,,73.5,102.1,34.0,33.8,23.9,,,,,,,386.43,0.09
702906,0,2011-SEP-15,1,F,NA,NL,6,,-1,5921357,672308,20,15,0,9,V,T,U,0.00,TC,DE,SNGL,LS,U,-1,,,160.53,7.89,1.55,0.00,,1.45,2.40,0.50,0.00,106.77,5.64,1.60,0.00,0.26,0.00,0.00,0.67,0.54,0.94,5.06,12.71,4.75,174.71,51.88,174.71,51.88,0.00,15.0,,57.7,69.7,54.9,,,,,,,,,436.73,0.11
709886,0,2004-AUG-06,0,N,NR,NL,6,Boreal-NorthernPeninsulaForest,1,5580044,479756,21,0,999,123,V,T,U,0.00,TC,OP,COMP,ES,U,-1,107,455,12.66,34.86,8.95,6.58,,0.58,3.26,0.81,,13.00,27.53,13.57,4.72,,,5.08,1.83,0.38,3.29,0.72,3.21,0.84,31.51,4.75,26.43,4.02,0.73,55.0,,156.4,176.7,14.4,58.1,11.4,,,,,,,502.08,0.10
709886,0,2014-JUN-22,1,F,NA,NL,6,,-1,5580044,479756,21,0,999,123,V,T,U,0.00,TC,OP,COMP,ES,N,,,,22.13,23.60,15.42,0.00,,0.58,11.76,1.75,0.00,20.41,12.82,19.86,0.00,0.00,0.00,0.00,7.07,0.18,2.38,2.97,8.14,1.62,21.25,3.04,21.25,3.04,0.00,15.0,15.0,97.6,101.5,32.2,,,48.5,63.0,,,,,515.93,0.10
716766,0,2004-AUG-05,0,N,NR,NL,6,Boreal-NorthernPeninsulaForest,1,5568929,463157,21,0,999,58,V,T,U,0.00,TC,OP,COMP,LS,U,-1,107,455,35.55,27.33,8.09,2.74,,0.46,1.34,0.36,,32.61,16.52,16.18,1.95,,,0.00,3.72,0.22,2.23,0.72,15.75,2.59,29.57,4.37,29.57,4.37,0.00,54.0,,257.0,269.8,26.0,26.5,21.0,,,,,,,421.91,0.15
716766,0,2010-JUN-10,1,F,NA,NL,6,,-1,5568929,463157,21,0,999,59,V,T,U,0.00,TC,OP,COMP,LS,U,-1,,,43.90,19.47,10.69,2.90,,0.44,1.48,0.40,0.00,38.39,12.50,18.81,2.39,0.00,0.00,0.00,2.17,0.08,2.34,2.89,7.53,1.50,27.73,6.34,27.73,6.34,0.00,,35.0,,,,,,72.3,89.8,120.1,176.6,,,456.27,0.16
